movie_id,title,genres,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,114709,862
2,GoldenEye (1995),Action|Adventure|Thriller,113189,710
3,Four Rooms (1995),Comedy,113101,5
4,Get Shorty (1995),Comedy|Crime|Thriller,113161,8012
5,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,112722,1710
6,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,115012,37557
7,Twelve Monkeys (1995),Sci-Fi|Thriller,,
8,Babe (1995),Children|Drama,112431,9598
9,Dead Man Walking (1995),Crime|Drama,112818,687
10,Richard III (1995),Drama|War,114279,31174
11,Seven (Se7en) (1995),Crime|Mystery,,
12,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,114814,629
13,Mighty Aphrodite (1995),Comedy|Drama|Romance,113819,11448
14, Il Postino (1994),Romance|Drama,,
15,Mr. Holland's Opus (1995),Drama,113862,2054
16,French Twist (Gazon maudit) (1995),Comedy|Romance,113149,4482
17,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,116367,755
18,The White Balloon (1995),Drama|Dramedy,,
19,Antonia's Line (1995),Drama|Dramedy,,
20,Angels and Insects (1995),Drama|Romance,112365,8447
21,Muppet Treasure Island (1996),Adventure|Children|Comedy|Musical,117110,10874
22,Braveheart (1995),Action|Drama|War,112573,197
23,Taxi Driver (1976),Crime|Drama|Thriller,75314,103
24,Rumble in the Bronx (1995),Action|Comedy,,
25,"Birdcage, The (1996)",Comedy,115685,11000
26,The Brothers McMullen (1995),Comedy,112585,16388
27,Bad Boys (1995),Action|Comedy|Crime|Drama|Thriller,112442,9737
28,Apollo 13 (1995),Adventure|Drama|IMAX,112384,568
29,Batman Forever (1995),Action|Adventure|Comedy|Crime,112462,414
30,Belle de jour (1967),Drama|Romance,,
31,Crimson Tide (1995),Drama|Thriller|War,112740,8963
32,Crumb (1994),Documentary,109508,26564
33,Desperado (1995),Action|Romance|Western,112851,8068
34,The Doom Generation (1995),Comedy|Crime|Drama,112887,13552
35,Free Willy 2: The Adventure Home (1995),Adventure|Children|Drama,113114,9073
36,Mad Love (1995),Drama|Romance,113729,47608
37,Nadja (1994),Drama,110620,34574
38,The Net (1995),Action|Crime|Thriller,113957,1642
39,Strange Days (1995),Action|Crime|Drama|Mystery|Sci-Fi|Thriller,114558,281
40,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,114682,9090
41,Billy Madison (1995),Comedy,112508,11017
42,Clerks (1994),Comedy,109445,2292
43,Disclosure (1994),Drama|Thriller,109635,8984
44,Dolores Claiborne (1994),Drama|Mystery,,
45,Eat Drink Man Woman (1994),Drama|Romance,,
46,Exotica (1994),Drama,109759,20156
47,Ed Wood (1994),Comedy|Drama,109707,522
48,Hoop Dreams (1994),Documentary,110057,14275
49,I.Q. (1994),Comedy|Romance,110099,11777
50,Star Wars (1977),Sci-Fi,,
51,Legends of the Fall (1994),Drama|Romance|War|Western,110322,4476
52,The Madness of King George (1994),Comedy|Drama,110428,11318
53,Natural Born Killers (1994),Action|Crime|Thriller,110632,241
54,Outbreak (1995),Action|Drama|Sci-Fi|Thriller,114069,6950
55,The Professional (1994),Action|Drama,,
56,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller,110912,680
57,Priest (1994),Drama,110889,40156
58,Quiz Show (1994),Drama,110932,11450
59,Three Colors: Red (1994),Drama|Romance,,
60,Three Colors: Blue (1993),Drama|Romance,,
61,Three Colors: White (1994),Drama|Romance,,
62,Stargate (1994),Action|Adventure|Sci-Fi,111282,2164
63,The Santa Clause (1994),Comedy|Drama|Fantasy,111070,11395
64,The Shawshank Redemption (1994),Crime|Drama,111161,278
65,What's Eating Gilbert Grape (1993),Drama,108550,1587
66,While You Were Sleeping (1995),Comedy|Romance,114924,2064
67,Ace Ventura: Pet Detective (1994),Comedy,109040,3049
68,The Crow(1994),Action|Crime|Fantasy|Thriller,109506,9495
69,Forrest Gump (1994),Comedy|Drama|Romance|War,109830,13
70,Four Weddings and a Funeral (1994),Comedy|Romance,109831,712
71,The Lion King (1994),Adventure|Animation|Children|Drama|Musical|IMAX,110357,8587
72,The Mask (1994),Action|Comedy|Crime|Fantasy,110475,854
73,Maverick (1994),Adventure|Comedy|Western,110478,9359
74,Faster Pussycat! Kill! Kill! (1965),Action|Crime|Drama,59170,315
75,Brother Minister: The Assassination of Malcolm X (1994),Documentary,109339,316098
76,Carlito's Way (1993),Crime|Drama,106519,6075
77,The Firm (1993),Drama|Thriller,106918,37233
78,Free Willy (1993),Adventure|Children|Drama,106965,1634
79,The Fugitive (1993),Thriller,106977,5503
80,Hot Shots! Part Deux (1993),Action|Comedy|War,107144,9255
81,"Hudsucker Proxy, The (1994)",Comedy,110074,11934
82,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller,107290,329
83,Much Ado About Nothing (1993),Comedy|Romance,107616,11971
84,Robert A. Heinlein's The Puppet Masters (1994),Sci-Fi|Horror,,
85,The Ref (1994),Comedy,110955,10872
86,The Remains of the Day (1993),Drama|Romance,107943,1245
87,Searching for Bobby Fischer (1993),Drama,108065,14291
88,Sleepless in Seattle (1993),Comedy|Drama|Romance,108160,858
89,Blade Runner (1982),Action|Sci-Fi|Thriller,83658,78
90,So I Married an Axe Murderer (1993),Comedy|Romance|Thriller,108174,10442
91,The Nightmare Before Christmas (1993),Animation|Children|Fantasy|Musical,107688,9479
92,True Romance (1993),Crime|Thriller,108399,319
93,Welcome to the Dollhouse (1995),Comedy|Drama,114906,11446
94,Home Alone (1990),Children|Comedy,99785,771
95,Aladdin (1992),Adventure|Animation|Children|Comedy|Musical,103639,812
96,Terminator 2: Judgment Day (1991),Action|Sci-Fi,103064,280
97,Dances with Wolves (1990),Adventure|Drama|Western,99348,581
98,The Silence of the Lambs (1991),Crime|Horror|Thriller,102926,274
99,Snow White and the Seven Dwarfs (1937),Animation|Children|Drama|Fantasy|Musical,29583,408
100,Fargo (1996),Comedy|Crime|Drama|Thriller,116282,275
101,Heavy Metal (1981),Action|Adventure|Animation|Horror|Sci-Fi,82509,11827
102,The Aristocats (1970),Animation|Children,65421,10112
103,All Dogs Go to Heaven 2 (1996),Adventure|Animation|Children|Fantasy|Musical|Romance,115509,19042
104,Theodore Rex (1995),Comedy,114658,36259
105,Sgt. Bilko (1996),Comedy,117608,9099
106,Diabolique (1996),Drama|Thriller,116095,10988
107,Moll Flanders (1996),Drama,117071,18989
108,Kids in the Hall: Brain Candy (1996),Comedy,116768,18414
109,Mystery Science Theater 3000: The Movie (1996),Comedy|Sci-Fi,117128,3065
110,Operation Dumbo Drop (1995),Action|Adventure|Comedy|War,114048,27281
111,The Truth About Cats & Dogs (1996),Comedy|Romance,117979,8866
112,Flipper (1996),Adventure|Children,116322,36355
113,"The Horseman on the Roof (Hussard sur le toit, Le) (1995)",Drama|Romance,113362,11876
114,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Animation|Comedy,118114,
115,The Haunted World of Edward D. Wood Jr. (1995),Documentary,,
116,Cold Comfort Farm (1995),Comedy,112701,32513
117,"Rock, The (1996)",Action|Adventure|Thriller,117500,9802
118,Twister (1996),Action|Adventure|Romance|Thriller,117998,664
119,Maya Lin: A Strong Clear Vision (1994),Documentary,110480,85778
120,Striptease (1996),Comedy|Crime,117765,9879
121,Independence Day (ID4) (1996),Sci-Fi|Action,,
122,The Cable Guy (1996),Comedy|Thriller,115798,9894
123,The Frighteners (1996),Comedy|Horror|Thriller,116365,10779
124,Lone Star (1996),Drama|Mystery|Western,116905,26748
125,Phenomenon (1996),Drama|Romance,117333,9294
126,The Spitfire Grill (1996),Drama,117718,47907
127,The Godfather (1972),Crime|Drama,68646,238
128,Supercop (1992),Action|Comedy,,
129,Bound (1996),Crime|Drama|Romance|Thriller,115736,9303
130,Kansas City (1996),Crime|Drama|Musical|Thriller,116745,22479
131,Breakfast at Tiffany's (1961),Drama|Romance,54698,164
132,The Wizard of Oz(1939),Adventure|Children|Fantasy|Musical,32138,630
133,Gone with the Wind (1939),Drama|Romance|War,31381,770
134,Citizen Kane (1941),Drama|Mystery,33467,15
135,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi,62622,62
136,Mr. Smith Goes to Washington (1939),Drama,31679,3083
137,Big Night (1996),Comedy|Drama,115678,18203
138,D3: The Mighty Ducks (1996),Children|Comedy,116000,10680
139,The Love Bug (1969),Children|Comedy,64603,14136
140,Homeward Bound: The Incredible Journey (1993),Adventure|Children|Drama,107131,6878
141,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi,46672,173
142,Bedknobs and Broomsticks (1971),Adventure|Children|Musical,66817,12335
