movie_id,title,genres,imdbId,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,tt0114709,862.0
2,Jumanji (1995),Adventure|Children|Fantasy,tt0113497,8844.0
3,Grumpier Old Men (1995),Comedy|Romance,tt0113228,15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,tt0114885,31357.0
5,Father of the Bride Part II (1995),Comedy,tt0113041,11862.0
6,Heat (1995),Action|Crime|Thriller,tt0113277,949.0
7,Sabrina (1995),Comedy|Romance,tt0114319,11860.0
8,Tom and Huck (1995),Adventure|Children,tt0112302,45325.0
9,Sudden Death (1995),Action,tt0114576,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,tt0113189,710.0
11,"American President, The (1995)",Comedy|Drama|Romance,tt0112346,9087.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,tt0112896,12110.0
13,Balto (1995),Adventure|Animation|Children,tt0112453,21032.0
14,Nixon (1995),Drama,tt0113987,10858.0
15,Cutthroat Island (1995),Action|Adventure|Romance,tt0112760,1408.0
16,Casino (1995),Crime|Drama,tt0112641,524.0
17,Sense and Sensibility (1995),Drama|Romance,tt0114388,4584.0
18,Four Rooms (1995),Comedy,tt0113101,5.0
19,Ace Ventura: When Nature Calls (1995),Comedy,tt0112281,9273.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,tt0113845,11517.0
21,Get Shorty (1995),Comedy|Crime|Thriller,tt0113161,8012.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,tt0112722,1710.0
23,Assassins (1995),Action|Crime|Thriller,tt0112401,9691.0
24,Powder (1995),Drama|Sci-Fi,tt0114168,12665.0
25,Leaving Las Vegas (1995),Drama|Romance,tt0113627,451.0
26,Othello (1995),Drama,tt0114057,16420.0
27,Now and Then (1995),Children|Drama,tt0114011,9263.0
28,Persuasion (1995),Drama|Romance,tt0114117,17015.0
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Fantasy|Mystery|Sci-Fi,tt0112682,902.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Crime|Drama,tt0115012,37557.0
31,Dangerous Minds (1995),Drama,tt0112792,9909.0
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Mystery|Sci-Fi|Thriller,tt0114746,63.0
33,Babe (1995),Children|Drama,tt0112431,9598.0
34,Carrington (1995),Drama|Romance,tt0112637,47018.0
35,Dead Man Walking (1995),Crime|Drama,tt0112818,687.0
36,Across the Sea of Time (1995),Documentary|IMAX,tt0112286,139405.0
37,It Takes Two (1995),Children|Comedy,tt0113442,33689.0
38,Clueless (1995),Comedy|Romance,tt0112697,9603.0
39,"Cry, the Beloved Country (1995)",Drama,tt0112749,34615.0
40,Richard III (1995),Drama|War,tt0114279,31174.0
41,Dead Presidents (1995),Action|Crime|Drama,tt0112819,11443.0
42,Restoration (1995),Drama,tt0114272,35196.0
43,Mortal Kombat (1995),Action|Adventure|Fantasy,tt0113855,9312.0
44,To Die For (1995),Comedy|Drama|Thriller,tt0114681,577.0
45,How to Make an American Quilt (1995),Drama|Romance,tt0113347,11861.0
46,Seven (a.k.a. Se7en) (1995),Mystery|Thriller,tt0114369,807.0
47,Pocahontas (1995),Animation|Children|Drama|Musical|Romance,tt0114148,10530.0
48,When Night Is Falling (1995),Drama|Romance,tt0114916,8391.0
49,"Usual Suspects, The (1995)",Crime|Mystery|Thriller,tt0114814,629.0
50,Mighty Aphrodite (1995),Comedy|Drama|Romance,tt0113819,11448.0
51,Lamerica (1994),Adventure|Drama,tt0110299,49133.0
52,"Big Green, The (1995)",Children|Comedy,tt0112499,26441.0
53,Georgia (1995),Drama,tt0113158,97406.0
54,Home for the Holidays (1995),Drama,tt0113321,9089.0
55,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance,tt0110877,11010.0
56,"Confessional, The (Confessionnal, Le) (1995)",Drama|Mystery,tt0112714,99040.0
57,"Indian in the Cupboard, The (1995)",Adventure|Children|Fantasy,tt0113419,11359.0
58,Eye for an Eye (1996),Drama|Thriller,tt0116260,17182.0
59,Mr. Holland's Opus (1995),Drama,tt0113862,2054.0
60,Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),Comedy|Crime,tt0116126,10607.0
61,Two if by Sea (1996),Comedy|Romance,tt0118002,19760.0
62,Bio-Dome (1996),Comedy,tt0115683,9536.0
63,Lawnmower Man 2: Beyond Cyberspace (1996),Action|Sci-Fi|Thriller,tt0116839,11525.0
64,French Twist (Gazon maudit) (1995),Comedy|Romance,tt0113149,4482.0
65,Friday (1995),Comedy,tt0113118,10634.0
66,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller,tt0116367,755.0
